"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","startDateTime"
"1","USGS","01119375",2017-01-11,"10:00",NA,NA,"EST","K","USGS-WRD","WS","10003LB00",NA,NA,NA,"8","9","3",NA,"50468",NA,99,NA,"BAC14","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD",2017-01-11 10:00:00
"2","USGS","01119375",2017-03-13,"09:30",NA,NA,"EST","K","USGS-WRD","WS","10003LB00",NA,NA,NA,"5","9","3",NA,"50468",NA,23,NA,"BAC14","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD",2017-03-13 09:30:00
"3","USGS","01119375",2017-05-09,"09:15",NA,NA,"EST","K","USGS-WRD","WS","10003LB00",NA,NA,NA,"5","9","3",NA,"50468",NA,46,NA,"BAC14","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD",2017-05-09 09:15:00
"4","USGS","01119375",2017-07-03,"10:00",NA,NA,"EST","K","USGS-WRD","WS","10003LB00",NA,NA,NA,"6","9","3",NA,"50468",NA,160,NA,"BAC14","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD",2017-07-03 10:00:00
"5","USGS","01119375",2017-08-07,"07:45",NA,NA,"EST","K","USGS-WRD","WS","10003LB00",NA,NA,NA,"5","9","3",NA,"50468",NA,240,NA,"BAC14","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD",2017-08-07 07:45:00
"6","USGS","01119375",2017-09-13,"13:30",NA,NA,"EDT","K","USGS-WRD","WS","10003LB00",NA,NA,NA,"4","7","3",NA,"50468",NA,41,NA,"BAC14","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD",2017-09-13 13:30:00
"7","USGS","01119375",2017-11-13,"09:30",NA,NA,"EST","K","USGS-WRD","WS","10003LB00",NA,NA,NA,"9","9","3",NA,"50468",NA,180,NA,"BAC14","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD",2017-11-13 09:30:00
"8","USGS","01119375",2018-01-08,"09:15",NA,NA,"EST","K","USGS-WRD","WS","10003LB00",NA,NA,NA,"9","9","3",NA,"50468",NA,51,NA,"BAC14","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD",2018-01-08 09:15:00
"9","USGS","01119375",2018-03-28,"13:45",NA,NA,"EDT","K","USGS-WRD","WS","10003LB00",NA,NA,NA,"9","9","3",NA,"50468",NA,5,NA,"BAC14","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD",2018-03-28 13:45:00
"10","USGS","01119375",2018-05-09,"08:45",NA,NA,"EDT","K","USGS-WRD","WS","10003LB00",NA,NA,NA,"9","9","3",NA,"50468",NA,68,NA,"BAC14","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD",2018-05-09 08:45:00
